                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3709,                 3.4086,                 1.4068,                0.00693,                      1,                 0.0947,                0.06024,                 1.3357,                 3.3962,                 1.4205,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 1.1562,                 3.2229,                 1.2006,                0.00697,                      1,                0.46028,                0.35246,                 1.0702,                  3.288,                 1.2361,             8.2525e-05,             8.2525e-05,             8.2525e-05
                      3,                 1.0026,                 2.8047,                 1.1046,                0.00702,                      1,                0.50037,                0.40681,                0.93562,                 3.2215,                 1.1757,             0.00013072,             0.00013072,             0.00013072
                      4,                 1.0403,                 2.2073,                 1.0831,                0.00674,                      1,                0.52412,                0.41671,                0.91444,                 3.1042,                 1.1676,             0.00017792,             0.00017792,             0.00017792
                      5,                0.94956,                 1.7497,                 1.1298,                 0.4629,                0.55556,                0.57297,                0.42835,                0.96637,                 2.9564,                 1.1785,             0.00022414,             0.00022414,             0.00022414
                      6,                0.91443,                 1.5982,                 1.0921,                0.00653,                      1,                0.60306,                0.45427,                0.92311,                 2.9347,                 1.1299,             0.00026936,             0.00026936,             0.00026936
                      7,                0.96526,                 1.4403,                 1.0785,                0.00647,                      1,                0.64145,                 0.4939,                0.87731,                 2.8007,                 1.0448,              0.0003136,              0.0003136,              0.0003136
                      8,                0.88063,                 1.2693,                 1.0228,                0.46232,                    0.5,                 0.6844,                0.51958,                0.89459,                 2.7025,                 1.0255,             0.00035684,             0.00035684,             0.00035684
                      9,                0.81497,                 1.2058,                 1.0242,                      1,                0.34846,                0.70206,                0.51986,                0.97538,                 2.5272,                 1.0426,             0.00039909,             0.00039909,             0.00039909
                     10,                0.88073,                 1.1138,                 1.0011,                      1,                0.48071,                0.71269,                0.51886,                 1.0139,                 2.4904,                 1.0438,             0.00044036,             0.00044036,             0.00044036
                     11,                0.89775,                 1.1961,                 1.0435,                0.98529,                    0.5,                0.77186,                0.58217,                0.94117,                 2.4774,                 1.0183,             0.00048063,             0.00048063,             0.00048063
                     12,                0.86787,                 1.1222,                 1.0364,                      1,                0.47966,                0.96903,                 0.7438,                0.86292,                  2.476,                 1.0647,             0.00051991,             0.00051991,             0.00051991
                     13,                0.89654,                 1.1442,                 1.0933,                      1,                 0.4501,                0.79587,                 0.6306,                0.87793,                 2.5318,                 1.0647,              0.0005582,              0.0005582,              0.0005582
                     14,                0.90258,                 1.1137,                 1.0619,                      1,                0.47571,                0.88741,                0.64965,                 0.8915,                 2.5448,                  1.048,             0.00059551,             0.00059551,             0.00059551
                     15,                0.85494,                 1.1809,                 1.0376,                      1,                0.39008,                0.94222,                0.70324,                0.90757,                 2.5661,                 1.0491,             0.00063182,             0.00063182,             0.00063182
                     16,                0.87175,                 1.1642,                 1.0271,                      1,                0.39667,                  0.973,                0.73647,                 0.9657,                  2.508,                 1.0905,             0.00066714,             0.00066714,             0.00066714
                     17,                0.90914,                 1.0932,                 1.0637,                      1,                 0.4803,                 0.9565,                0.66129,                0.97986,                 2.4128,                 1.1547,             0.00070147,             0.00070147,             0.00070147
                     18,                0.84844,                 1.0811,                 1.0399,                      1,                0.48382,                0.91166,                0.66508,                0.99171,                 2.3763,                 1.1536,             0.00073482,             0.00073482,             0.00073482
                     19,                0.85119,                 1.0348,                 1.0199,                      1,                 0.4849,                0.90906,                0.64958,                 1.0873,                 2.3387,                 1.2385,             0.00076717,             0.00076717,             0.00076717
                     20,                0.82531,                 1.0463,                  1.074,                0.95229,                    0.5,                0.95409,                0.69262,                 1.0326,                 2.2511,                 1.1728,             0.00079853,             0.00079853,             0.00079853
                     21,                0.83519,                 1.0224,                   1.07,                0.95399,                    0.5,                  0.995,                0.73691,                0.93759,                 2.1438,                  1.109,              0.0008289,              0.0008289,              0.0008289
                     22,                0.88278,                0.98147,                 1.0306,                0.96074,                0.56528,                  0.995,                0.73414,                 1.0136,                 2.1189,                 1.1664,             0.00085828,             0.00085828,             0.00085828
                     23,                0.84072,                 1.1015,                 1.0464,                0.95559,                0.60664,                  0.995,                0.69708,                 1.1053,                 2.0283,                 1.2691,             0.00088667,             0.00088667,             0.00088667
                     24,                0.87255,                 1.1023,                 1.0523,                0.95999,                0.96745,                  0.995,                0.73773,                0.96351,                 1.8184,                 1.2148,             0.00091407,             0.00091407,             0.00091407
                     25,                0.85603,                 1.0879,                 1.0412,                 0.9597,                0.98271,                  0.995,                 0.7557,                0.93623,                 1.5368,                 1.1805,             0.00094048,             0.00094048,             0.00094048
                     26,                0.88249,                0.96138,                 1.0284,                0.94267,                0.94444,                 0.9895,                0.74778,                0.97552,                 1.3985,                 1.2394,              0.0009659,              0.0009659,              0.0009659
                     27,                0.78165,                 1.0159,                 1.0406,                0.93124,                0.94444,                0.98125,                0.71895,                0.98009,                  1.359,                  1.251,             0.00099033,             0.00099033,             0.00099033
                     28,                0.78491,                0.93605,                 1.0123,                0.93927,                0.94444,                 0.9895,                0.71639,                0.98518,                 1.4182,                 1.2374,              0.0010138,              0.0010138,              0.0010138
                     29,                0.82103,                0.98005,                 1.0379,                0.93927,                0.94444,                 0.9895,                0.71639,                0.98518,                 1.4182,                 1.2374,              0.0010362,              0.0010362,              0.0010362
                     30,                0.71953,                0.91822,                 1.0048,                0.88651,                      1,                  0.995,                0.74552,                 1.0085,                  1.367,                 1.2507,              0.0010577,              0.0010577,              0.0010577
                     31,                0.82108,                0.92754,                 1.0011,                0.77051,                0.88889,                  0.984,                0.70747,                 1.0661,                 1.4076,                 1.3709,              0.0010781,              0.0010781,              0.0010781
                     32,                0.82109,                0.94114,                 1.0613,                0.87075,                      1,                  0.995,                0.73435,                 1.0239,                 1.3214,                 1.3182,              0.0010976,              0.0010976,              0.0010976
                     33,                0.78022,                0.88638,                 1.0115,                0.87075,                      1,                  0.995,                0.73435,                 1.0239,                 1.3214,                 1.3182,              0.0011161,              0.0011161,              0.0011161
                     34,                0.83431,                0.93968,                0.99438,                 0.8639,                0.94444,                 0.9895,                0.74199,                 1.0184,                 1.2714,                 1.3088,              0.0011224,              0.0011224,              0.0011224
                     35,                0.77169,                0.93793,                 1.0547,                0.79425,                0.86986,                0.95872,                0.70938,                 1.0467,                 1.3803,                 1.3994,              0.0011059,              0.0011059,              0.0011059
                     36,                0.82678,                0.99435,                 1.0345,                0.81132,                 0.9324,                0.95974,                0.73346,                0.98311,                 1.2928,                 1.3386,              0.0010894,              0.0010894,              0.0010894
                     37,                0.77223,                0.95884,                 1.0227,                0.81132,                 0.9324,                0.95974,                0.73346,                0.98311,                 1.2928,                 1.3386,              0.0010729,              0.0010729,              0.0010729
                     38,                0.77187,                0.89964,                 1.0158,                0.94442,                0.88103,                0.97514,                0.70959,                 1.0084,                  1.086,                  1.333,              0.0010564,              0.0010564,              0.0010564
                     39,                0.81813,                0.91967,                  1.038,                0.90425,                0.93205,                0.97197,                0.73934,                 1.0497,                 1.0468,                 1.3406,              0.0010399,              0.0010399,              0.0010399
                     40,                0.81484,                0.94363,                 1.0436,                0.86377,                0.92343,                0.96292,                 0.7717,                0.95746,                 1.0328,                 1.2436,              0.0010234,              0.0010234,              0.0010234
                     41,                0.80224,                0.92746,                 1.0105,                0.86377,                0.92343,                0.96292,                 0.7717,                0.95746,                 1.0328,                 1.2436,              0.0010069,              0.0010069,              0.0010069
                     42,                0.79435,                0.93784,                0.98418,                0.87335,                0.88889,                0.89443,                0.65927,                0.97928,                 1.1247,                 1.2504,             0.00099036,             0.00099036,             0.00099036
                     43,                0.71744,                0.86541,                0.96502,                0.87985,                0.99603,                0.91918,                 0.6836,                 1.0314,                  1.076,                 1.3076,             0.00097386,             0.00097386,             0.00097386
                     44,                0.74529,                0.85075,                0.95072,                0.88741,                      1,                0.95673,                0.70648,                  1.062,                 1.0431,                 1.3278,             0.00095736,             0.00095736,             0.00095736
                     45,                0.75307,                0.87548,                 1.0164,                0.88741,                      1,                0.95673,                0.70648,                  1.062,                 1.0431,                 1.3278,             0.00094085,             0.00094085,             0.00094085
                     46,                0.73219,                0.85725,                0.97022,                0.89781,                      1,                0.92373,                0.70195,                0.97439,                0.92578,                 1.2481,             0.00092435,             0.00092435,             0.00092435
                     47,                0.74032,                0.82051,                 1.0114,                0.88742,                      1,                0.93018,                0.69417,                0.99067,                0.87872,                 1.2482,             0.00090785,             0.00090785,             0.00090785
                     48,                0.72211,                0.83424,                  1.003,                 0.8771,                      1,                0.93568,                0.70501,                 1.0857,                0.92898,                 1.3255,             0.00089134,             0.00089134,             0.00089134
                     49,                0.66918,                0.78515,                0.96703,                 0.8771,                      1,                0.93568,                0.70501,                 1.0857,                0.92898,                 1.3255,             0.00087484,             0.00087484,             0.00087484
                     50,                0.70874,                0.83243,                0.98262,                 0.8848,                      1,                0.94023,                0.69631,                 1.0712,                0.95936,                 1.3222,             0.00085834,             0.00085834,             0.00085834
                     51,                0.73495,                0.80111,                0.98011,                0.89465,                      1,                0.94286,                0.70197,                 1.0767,                0.94339,                 1.3286,             0.00084184,             0.00084184,             0.00084184
                     52,                0.74894,                0.87355,                 1.0178,                0.88709,                      1,                0.94191,                0.69469,                 1.0347,                0.94854,                 1.2778,             0.00082533,             0.00082533,             0.00082533
                     53,                0.67026,                0.74002,                0.94946,                0.88709,                      1,                0.94191,                0.69469,                 1.0347,                0.94854,                 1.2778,             0.00080883,             0.00080883,             0.00080883
                     54,                0.69043,                0.81087,                0.97522,                0.87947,                      1,                 0.9407,                0.69376,                 1.0545,                0.95913,                 1.2931,             0.00079233,             0.00079233,             0.00079233
                     55,                0.64788,                0.72102,                0.93421,                 0.8692,                      1,                0.94191,                0.69652,                 1.1251,                0.96545,                 1.3979,             0.00077582,             0.00077582,             0.00077582
                     56,                0.68768,                0.73208,                0.99893,                0.89977,                0.99365,                0.94286,                0.71786,                 1.0876,                0.94308,                 1.3743,             0.00075932,             0.00075932,             0.00075932
                     57,                0.67933,                0.76112,                0.93697,                0.89977,                0.99365,                0.94286,                0.71786,                 1.0876,                0.94308,                 1.3743,             0.00074282,             0.00074282,             0.00074282
                     58,                0.67531,                0.74966,                0.99671,                0.87618,                      1,                0.94932,                0.71611,                  1.046,                0.93328,                 1.3253,             0.00072631,             0.00072631,             0.00072631
                     59,                0.70847,                0.73966,                 1.0046,                0.87367,                      1,                0.95027,                0.73913,                0.95156,                0.86167,                 1.2375,             0.00070981,             0.00070981,             0.00070981
                     60,                0.69259,                0.68395,                0.95266,                0.88761,                      1,                0.98136,                0.75938,                0.91935,                0.80797,                 1.2203,             0.00069331,             0.00069331,             0.00069331
                     61,                0.66835,                0.70137,                0.95128,                0.88761,                      1,                0.98136,                0.75938,                0.91935,                0.80797,                 1.2203,              0.0006768,              0.0006768,              0.0006768
                     62,                0.64274,                0.72881,                0.96111,                0.89139,                      1,                0.99045,                 0.7673,                0.91096,                0.80316,                 1.2357,              0.0006603,              0.0006603,              0.0006603
                     63,                0.69773,                0.75376,                0.98172,                0.94763,                0.98364,                  0.995,                0.75573,                0.95977,                0.80444,                 1.2335,              0.0006438,              0.0006438,              0.0006438
                     64,                0.72062,                0.69099,                0.98495,                0.94616,                0.97869,                  0.995,                0.75817,                0.93959,                0.78589,                 1.2249,             0.00062729,             0.00062729,             0.00062729
                     65,                0.69011,                0.75917,                0.98591,                0.94616,                0.97869,                  0.995,                0.75817,                0.93959,                0.78589,                 1.2249,             0.00061079,             0.00061079,             0.00061079
                     66,                0.67647,                0.74906,                 1.0113,                0.92897,                0.99146,                  0.995,                0.76598,                0.94886,                0.77288,                  1.226,             0.00059429,             0.00059429,             0.00059429
                     67,                0.56221,                0.70474,                0.92386,                0.92113,                0.99152,                 0.9895,                0.75728,                0.98965,                0.75516,                 1.2649,             0.00057778,             0.00057778,             0.00057778
                     68,                 0.5685,                0.66219,                0.92486,                0.92634,                0.99354,                 0.9785,                0.72873,                 1.0434,                0.76075,                 1.3029,             0.00056128,             0.00056128,             0.00056128
                     69,                0.58443,                0.65008,                0.91959,                0.92634,                0.99354,                 0.9785,                0.72873,                 1.0434,                0.76075,                 1.3029,             0.00054478,             0.00054478,             0.00054478
                     70,                0.64856,                0.69967,                0.96979,                 0.9354,                      1,                 0.9785,                0.75748,                 1.0104,                 0.7709,                  1.278,             0.00052827,             0.00052827,             0.00052827
                     71,                0.59725,                0.64223,                0.93278,                0.91516,                      1,                 0.9675,                0.73414,                0.95249,                 0.7558,                 1.2266,             0.00051177,             0.00051177,             0.00051177
                     72,                0.61756,                0.65652,                0.92408,                0.91053,                      1,                 0.9675,                 0.7576,                0.92767,                0.74781,                  1.223,             0.00049527,             0.00049527,             0.00049527
                     73,                0.60817,                0.66942,                0.95162,                0.91053,                      1,                 0.9675,                 0.7576,                0.92767,                0.74781,                  1.223,             0.00047876,             0.00047876,             0.00047876
                     74,                0.61052,                0.65303,                0.94112,                0.91372,                      1,                 0.9675,                0.73054,                0.96268,                0.74649,                 1.2456,             0.00046226,             0.00046226,             0.00046226
                     75,                0.63674,                0.69222,                0.95687,                0.90256,                      1,                  0.973,                0.74896,                 0.9424,                0.75342,                 1.2218,             0.00044576,             0.00044576,             0.00044576
                     76,                0.49277,                   0.65,                0.90511,                0.89701,                      1,                 0.9675,                0.75696,                0.91697,                0.75727,                 1.1957,             0.00042925,             0.00042925,             0.00042925
                     77,                0.53381,                 0.6544,                0.91787,                0.89701,                      1,                 0.9675,                0.75696,                0.91697,                0.75727,                 1.1957,             0.00041275,             0.00041275,             0.00041275
                     78,                0.55233,                0.61253,                0.92444,                0.90765,                0.99791,                 0.9785,                0.76083,                0.92625,                0.76815,                 1.2139,             0.00039625,             0.00039625,             0.00039625
                     79,                0.54891,                0.61948,                0.90151,                0.92762,                0.98122,                 0.9895,                0.75703,                0.96782,                0.77402,                 1.2688,             0.00037974,             0.00037974,             0.00037974
                     80,                0.58361,                0.67088,                0.92162,                 0.9359,                0.99953,                 0.9895,                0.73528,                 1.0032,                0.76522,                 1.3232,             0.00036324,             0.00036324,             0.00036324
                     81,                0.58472,                0.66174,                0.97726,                 0.9359,                0.99953,                 0.9895,                0.73528,                 1.0032,                0.76522,                 1.3232,             0.00034674,             0.00034674,             0.00034674
                     82,                0.58939,                0.66229,                0.95411,                0.93597,                      1,                 0.9895,                0.74773,                0.99021,                0.77147,                 1.3286,             0.00033023,             0.00033023,             0.00033023
                     83,                0.56665,                0.59119,                0.94044,                0.93436,                      1,                  0.984,                0.76793,                0.95908,                 0.7608,                 1.2979,             0.00031373,             0.00031373,             0.00031373
                     84,                0.59208,                0.63182,                 0.9284,                0.93558,                      1,                  0.984,                0.76053,                0.93945,                0.75922,                 1.2819,             0.00029723,             0.00029723,             0.00029723
                     85,                0.56738,                0.59078,                 0.9084,                0.93558,                      1,                  0.984,                0.76053,                0.93945,                0.75922,                 1.2819,             0.00028072,             0.00028072,             0.00028072
                     86,                0.56181,                0.64358,                0.91654,                0.93161,                      1,                  0.984,                0.75176,                0.93564,                0.74631,                 1.2759,             0.00026422,             0.00026422,             0.00026422
                     87,                0.52953,                0.56744,                0.89615,                0.92792,                      1,                 0.9895,                 0.7565,                0.95168,                 0.7345,                 1.2844,             0.00024772,             0.00024772,             0.00024772
                     88,                0.54712,                0.69286,                0.94068,                0.91675,                      1,                 0.9785,                0.75121,                0.95645,                 0.7289,                 1.2797,             0.00023121,             0.00023121,             0.00023121
                     89,                0.51724,                0.58183,                0.89999,                0.91675,                      1,                 0.9785,                0.75121,                0.95645,                 0.7289,                 1.2797,             0.00021471,             0.00021471,             0.00021471
                     90,                0.54742,                0.60946,                0.95676,                 0.9146,                      1,                  0.973,                 0.7462,                0.93693,                0.71849,                 1.2581,             0.00019821,             0.00019821,             0.00019821
                     91,                0.46219,                0.70694,                0.87925,                0.91424,                      1,                 0.9675,                0.74634,                0.91396,                0.72305,                 1.2295,              0.0001817,              0.0001817,              0.0001817
                     92,                0.43749,                0.68017,                0.88769,                0.91876,                      1,                  0.973,                0.74343,                0.90378,                 0.7181,                 1.2118,              0.0001652,              0.0001652,              0.0001652
                     93,                0.45995,                0.68069,                0.89855,                0.91876,                      1,                  0.973,                0.74343,                0.90378,                 0.7181,                 1.2118,              0.0001487,              0.0001487,              0.0001487
                     94,                0.44676,                0.67145,                0.87249,                0.91908,                      1,                  0.973,                0.75095,                0.90295,                0.72008,                 1.2028,             0.00013219,             0.00013219,             0.00013219
                     95,                 0.4685,                0.63398,                0.88006,                0.92041,                      1,                 0.9675,                0.74207,                0.90422,                0.71967,                  1.197,             0.00011569,             0.00011569,             0.00011569
                     96,                0.48925,                0.67357,                0.88284,                0.92149,                      1,                 0.9675,                0.73853,                0.90532,                 0.7196,                  1.195,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.46272,                0.66272,                0.85333,                0.92149,                      1,                 0.9675,                0.73853,                0.90532,                 0.7196,                  1.195,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.41488,                0.63556,                0.84194,                0.92293,                      1,                  0.973,                0.74932,                0.90792,                0.71607,                 1.2006,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.44792,                0.65972,                0.86935,                0.92436,                      1,                 0.9785,                0.75513,                 0.9142,                0.71302,                 1.2075,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.43661,                0.65094,                0.87964,                 0.9261,                      1,                 0.9785,                0.75608,                0.92381,                0.71165,                 1.2166,             3.3173e-05,             3.3173e-05,             3.3173e-05
